p,m,dofs,secs,mem_kb,cond,norm,recip
1,1,48,0,15944,7.382000e+01,5.799239e+00,1.648847e-01
1,2,192,0,29204,4.147900e+03,1.100841e+01,6.535777e-02
1,3,768,4,267452,8.542780e+04,7.064323e+00,5.407654e-03
1,4,3072,11,3400876,1.914040e+04,6.837997e+00,4.780133e-04
2,1,108,0,17316,1.582930e+03,6.045958e+00,9.926358e-02
2,2,300,0,66864,1.556140e+04,8.162010e+00,5.132137e-02
2,3,972,3,978696,2.365980e+04,6.827130e+00,2.663446e-04
2,4,3468,36,14110060,2.913820e+04,6.815844e+00,4.649744e-06
3,1,192,0,23940,1.271940e+04,9.655134e+00,5.252178e-02
3,2,432,1,217428,1.443460e+05,6.823244e+00,6.270884e-03
3,3,1200,10,2790880,5.784830e+04,6.816720e+00,3.063752e-05
3,4,3888,159,41670180,1.588550e+05,6.815650e+00,7.541443e-08
4,1,300,1,37764,7.456220e+04,8.484636e+00,5.350236e-02
4,2,588,3,461312,1.078050e+05,7.349696e+00,8.068679e-03
4,3,1452,32,6480944,3.443080e+05,6.815802e+00,7.445282e-06
4,4,4332,527,98616744,1.073670e+06,6.815647e+00,2.013135e-09
5,1,432,1,79664,3.073540e+06,6.895125e+00,5.764453e-03
5,2,768,8,918528,8.421310e+05,6.816276e+00,4.855664e-04
5,3,1728,104,13070640,2.065240e+06,6.815675e+00,1.828734e-06
5,4,4800,1593,201035332,6.334010e+06,6.815647e+00,1.373918e-10
