n_spectral,n_boundary,dofs,secs,mem_kb,cond,norm,recip,err
16,256,32,9,621924,4.011987e+00,6.483030e-01,2.055706e-01,9.625983e-01
32,256,64,9,612396,9.559587e+00,3.057207e+00,9.531970e-02,7.796771e-01
64,256,128,10,687472,5.072313e+01,1.228277e+01,1.154118e-02,5.406840e-02
128,256,256,9,757736,7.553489e+02,1.286948e+01,8.128631e-05,2.524071e-04
192,256,384,7,904776,5.536500e+05,1.287194e+01,3.689465e-06,5.727298e-06
256,256,512,7,776344,9.078184e+08,1.287195e+01,3.538605e-07,2.057176e-06
384,256,768,7,835164,1.513620e+09,1.287194e+01,1.069470e-07,2.441411e-07
512,256,1024,8,856164,2.015839e+09,1.287193e+01,6.208942e-08,8.475958e-08
768,256,1536,8,914644,3.022233e+09,1.287193e+01,3.133656e-08,4.307292e-08
1024,256,2048,16,1165040,4.032976e+09,1.287193e+01,3.027581e-08,2.113280e-08
16,512,32,7,626916,4.010409e+00,6.479531e-01,2.047137e-01,9.626344e-01
32,512,64,6,620828,9.562400e+00,3.057796e+00,9.529398e-02,7.796242e-01
64,512,128,7,700380,5.066784e+01,1.228331e+01,1.153252e-02,5.405169e-02
128,512,256,7,773144,7.438344e+02,1.286923e+01,7.940898e-05,2.775831e-04
192,512,384,7,788544,4.886939e+05,1.287193e+01,7.671238e-07,1.293212e-06
256,512,512,8,794400,7.561824e+08,1.287193e+01,6.923983e-08,8.460621e-08
384,512,768,7,815952,3.008333e+09,1.287193e+01,1.467961e-09,8.461340e-09
512,512,1024,7,826556,4.013057e+09,1.287193e+01,3.266724e-10,6.459551e-09
768,512,1536,8,1046308,6.015213e+09,1.287193e+01,1.823015e-10,3.435494e-09
1024,512,2048,17,1197312,8.017447e+09,1.287193e+01,1.435518e-10,2.590521e-09
16,1024,32,7,633524,4.009077e+00,6.480562e-01,2.046681e-01,9.626235e-01
32,1024,64,6,623320,9.569430e+00,3.057867e+00,9.532863e-02,7.796183e-01
64,1024,128,7,706768,5.065975e+01,1.228336e+01,1.153430e-02,5.404746e-02
128,1024,256,7,773292,7.425176e+02,1.286923e+01,7.852922e-05,2.770122e-04
192,1024,384,7,791296,4.884079e+05,1.287193e+01,3.645890e-07,1.029605e-06
256,1024,512,7,813256,9.255136e+08,1.287193e+01,3.311364e-08,2.122490e-08
384,1024,768,7,954404,6.011076e+09,1.287193e+01,6.654417e-10,3.593884e-09
512,1024,1024,8,1016052,8.017419e+09,1.287193e+01,2.203388e-10,2.590382e-09
768,1024,1536,8,1031360,1.202859e+10,1.287193e+01,7.173935e-11,1.701717e-09
1024,1024,2048,15,1128980,1.603763e+10,1.287193e+01,1.075896e-11,1.277163e-09
16,2048,32,7,643596,4.009207e+00,6.480804e-01,2.046468e-01,9.626209e-01
32,2048,64,6,632232,9.565761e+00,3.057852e+00,9.533999e-02,7.796197e-01
64,2048,128,7,730272,5.065898e+01,1.228340e+01,1.153424e-02,5.404432e-02
128,2048,256,7,793364,7.421554e+02,1.286920e+01,7.880892e-05,2.804407e-04
192,2048,384,7,944660,4.882315e+05,1.287193e+01,2.263093e-07,8.341070e-07
256,2048,512,7,971916,1.045195e+09,1.287193e+01,9.432519e-09,7.557150e-09
384,2048,768,7,955196,1.200264e+10,1.287193e+01,1.103565e-10,1.653527e-09
512,2048,1024,8,1006084,1.603040e+10,1.287193e+01,3.509500e-11,1.240624e-09
768,2048,1536,9,1076156,2.404291e+10,1.287193e+01,8.234859e-12,8.205410e-10
1024,2048,2048,17,1154668,3.205217e+10,1.287193e+01,3.944523e-12,6.059174e-10
16,4096,32,7,663280,4.009359e+00,6.480776e-01,2.046624e-01,9.626212e-01
32,4096,64,6,668044,9.564580e+00,3.057846e+00,9.534865e-02,7.796202e-01
64,4096,128,7,768208,5.065946e+01,1.228341e+01,1.153435e-02,5.404252e-02
128,4096,256,7,944612,7.420688e+02,1.286919e+01,7.886193e-05,2.811888e-04
192,4096,384,7,927124,4.880667e+05,1.287193e+01,2.064884e-07,7.196602e-07
256,4096,512,7,912520,1.117609e+09,1.287193e+01,1.457306e-09,4.394983e-09
384,4096,768,7,979992,2.395488e+10,1.287193e+01,1.544974e-11,8.191702e-10
512,4096,1024,8,1033960,3.205806e+10,1.287193e+01,5.585921e-12,6.052495e-10
768,4096,1536,9,1321024,4.807314e+10,1.287193e+01,2.425370e-12,3.937877e-10
1024,4096,2048,17,1650520,6.408729e+10,1.287193e+01,2.833778e-12,2.884394e-10
16,8192,32,7,719948,4.009331e+00,6.480792e-01,2.046658e-01,9.626211e-01
32,8192,64,7,736968,9.564688e+00,3.057846e+00,9.535092e-02,7.796202e-01
64,8192,128,7,769672,5.065938e+01,1.228341e+01,1.153445e-02,5.404236e-02
128,8192,256,8,969204,7.420692e+02,1.286920e+01,7.883512e-05,2.809635e-04
192,8192,384,8,936188,4.880774e+05,1.287193e+01,2.029017e-07,7.208663e-07
256,8192,512,8,1031888,1.157792e+09,1.287193e+01,1.251889e-09,2.674708e-09
384,8192,768,8,1352728,4.771336e+10,1.287193e+01,1.050156e-11,3.942144e-10
512,8192,1024,9,1623076,6.411439e+10,1.287193e+01,3.361808e-12,2.885319e-10
768,8192,1536,10,2233412,9.614853e+10,1.287193e+01,7.586219e-13,1.831628e-10
1024,8192,2048,18,2854548,1.281839e+11,1.287193e+01,1.999097e-13,1.302935e-10
